evident,(adj) clearly revealed to the mind or the senses or judgment
intend,(v) have in mind as a purpose
concern,(n) something that interests you because it is important
commit,(v) perform an act usually with a negative connotation
issue,(n) some situation or event that is thought about
approach,(v) move towards
establish,(v) set up or found
conduct,(v) direct the course of; manage or control
engage,(v) consume all of one's attention or time
obtain,(v) come into possession of
scarce,(adj) deficient in quantity or number compared with the demand
policy,(n) a plan of action adopted by an individual or social group
concept,(n) an abstract or general idea inferred from specific instances
court,(n) an assembly to conduct judicial business
commission,(n) a special group delegated to consider some matter
render,(v) give an interpretation of
appeal,(v) be attractive to
league,(n) an association of sports teams that organizes matches
dwell,(v) think moodily or anxiously about something
yield,(v) give or supply
earnest,(adj) characterized by a firm sincere belief in one's opinions
knight,(n) a person of noble birth trained to arms and chivalry
harry,(v) annoy continually or chronically
venture,(v) proceed somewhere despite the risk of possible dangers
assert,(v) declare or affirm solemnly and formally as true
liberal,(adj) having political views favoring reform and progress
tide,(n) the periodic rise and fall of the sea level
manifest,(v) reveal its presence or make an appearance
contempt,(n) lack of respect accompanied by a feeling of intense dislike
mode,(n) how something is done or how it happens
