acidification,the process of shifting toward the lower end of the pH scale
aerosol,a cloud of solid or liquid particles in a gas
agriculture,the practice of cultivating the land or raising stock
albedo,the ratio of reflected to incident light
atmosphere,the mass of air surrounding the Earth
biomass,the total amount of living matter in a given unit area
biosphere,the regions of the Earth where living organisms exist
carbon cycle,the organic circulation of carbon from the atmosphere into organisms and back again
carbon dioxide,a heavy odorless colorless gas formed during respiration and by the decomposition of organic substances
chlorofluorocarbon,a fluorocarbon with chlorine
climate,the weather in some location averaged over a period of time
climate change,a shift in the world's average weather and temperature
climatology,meteorology of climates and their phenomena
combustion,a reaction of a substance with oxygen to give heat and light
conduction,the transmission of heat or electricity or sound
convection,movement of heat by massive motion within the atmosphere
coral reef,a reef consisting of coral consolidated into limestone
desertificartion,"a gradual transformation into arid, uninhabitable land"
earth,the solid part of the earth's surface
emission,a substance that is released
fossil fuel,energy-producing substance derived from preserved organisms
geosphere,the solid part of the Earth
glacier,a slowly moving mass of ice
global warming,a rise in the average temperature of the earth's atmosphere
greenhouse effect ,warming when solar radiation is trapped by the atmosphere
greenhouse gas ,a gas that contributes to the greenhouse effect by absorbing infrared radiation
hydrosphere,the watery layer of the earth's surface
ice cap,a mass of ice and snow that permanently covers a large area of land
impact,a forceful consequence; a strong effect
methane,a colorless odorless gas used as a fuel
population,a group of organisms of the same species inhabiting an area
precipitation,the falling to earth of any form of water
radiation,energy transmitted in the form of rays or waves or particles
sea level,level of the ocean's surface
solar radiation,radiation from the sun
temperature,the degree of hotness or coldness of a body or environment
volcano,a fissure in the earth's crust through which gases erupt
weather,atmospheric conditions such as temperature and precipitation
