ser/estar,to be
tener,to have
hacer/aux,to do
decir,to say
ir,to go
poder,can
obtener,to get
aux-haria,would
hacer,to make
saber,to know
aux-futuro,will
pensar,to think
tomar,to take
ver,to see
venir,to come
aux-podria,could
querer,to want
mirar,to look
usar,to use
encontrar,to find
dar,to give
contar,to tell
trabajar,to work
aux-podria,may
aux-deberia,should
llamar,to call
tratar,to try
preguntar,to ask
necesitar,to need
sentir,to feel
convertirse/llegar a ser,to become
dejar,to leave
poner,to put
significar,to mean
guardar,to keep
dejar,to let
empezar,to begin
parecer,to seem
ayudar,to help
hablar,to talk
voltear,to turn
empezar,to start
aux- poder,might
mostrar,to show
oir,to hear
jugar,to play
correr,to run
mover,to move
gustar,to like
vivir,to live
